Character_Name,Character_dialogue,num_palabras,sentimiento
Neo," Nothing, I just had a little deja vu.",8,0.0
Trinity, What did you see?,4,0.0
Cypher, What happened?,2,0.0
Neo," A black cat went past us, and then another that looked just like it.",14,0.3612
Trinity," How much like it, was it the same cat?",9,0.3612
Neo," Might have been, I'm not sure.",6,-0.2411
Morpheus," Switch, Apoc.",2,0.0
Neo, What is it?,3,0.0
Trinity, Deja vu is usually a glitch in the Matrix. It happens when they change something.,15,0.0
Tank, Oh my God.,3,0.2732
Morpheus, Let's go.,2,0.0
Tank," They cut the hard line, it's a trap! Get out!",10,-0.658
Mouse, Oh no. Oh no.,4,-0.5267
Cypher, That's what they changed. We're trapped. There's no way out.,10,-0.6808
Morpheus, Be calm. Give me your phone.,6,0.3182
Trinity, They'll be able to track it.,6,0.0
Morpheus, We have no choice.,4,-0.296
Tank, Operator.,1,0.0
Morpheus, Tank. Find a structural drawing of this building. Find it fast.,11,0.0
Tank, Got it.,2,0.0
Morpheus, I need the main wet wall.,6,0.0
Agent Smith, Eighth floor.,2,0.0
Agent Brown, They're on the eighth floor.,5,0.0
Morpheus," Switch, straight ahead.",3,0.2263
Apoc, Neo. I hope the Oracle gave you some good news.,10,0.7003
Tank," Another left, that's it.",4,0.0
Morpheus, Good.,1,0.4404
Agent Brown, Where are they?,3,0.0
Police, They're in the walls. They're in the walls!,8,0.0
Cypher, It's an agent!,3,0.0
Trinity, Morpheus!,1,0.0
Morpheus, You must get Neo out! He's all that matters.,9,0.1007
Neo," No. No, Morpheus! Don't!",4,-0.6103
Morpheus," Trinity, go!",2,0.0
Trinity, Go!,1,0.0
Neo, We can't leave him!,4,0.1129
Trinity," You have to!. Cypher, come on!",6,0.0
Agent Smith, The great Morpheus. We meet at last.,7,0.6249
Morpheus, And you are?,3,0.0
Agent Smith, Smith. Agent Smith.,3,0.0
Morpheus, You all look the same to me.,7,0.0
Agent Smith, Take him.,2,0.0
Tank, No.,1,-0.296
Tank, Operator.,1,0.0
Cypher," Yeah, I need an exit fast.",6,0.296
Tank, Cypher?,1,0.0
Cypher," Yeah, there was an accident. Goddamn car accident. All of a sudden, boom. Somebody up there still likes me.",19,-0.6486
Tank, Gotcha.,1,0.0
Cypher, Get me out of here fast.,6,0.0
Tank," Intersection of Franklin and Erie, an old TV repair shop.",10,0.0
Cypher, Right.,1,0.0
Trinity," Tank, it's me.",3,0.0
Neo, Is Morpheus alive?,3,0.3818
Cypher," Is Morpheus alive, Tank?",4,0.3818
Tank, They're moving him. I don't know where to yet.,9,0.0
Trinity, He's alive. We need an exit.,6,0.3818
Tank, You're not far from Cypher.,5,0.0
Trinity, Cypher?,1,0.0
Tank, I know. He's at Franklin and Erie.,7,0.0
Trinity, Got it.,2,0.0
Tank, Got him.,2,0.0
Cypher, Where are they?,3,0.0
Tank, Making the call.,3,0.0
Cypher, Good.,1,0.4404
Trinity," You first, Neo.",3,0.0
Cypher, Shoot.,1,-0.34
Dozer, No!,1,-0.3595
Neo," I don't know, it just went dead.",7,-0.6486
Cypher," Hello, Trinity.",2,0.0
Trinity, Cypher? Where's Tank?,3,0.0
Cypher," You know, for a long time, I thought I was in love with you. I used to dream about you. You're a beautiful woman, Trinity. Too bad things had to turn out this way.",34,0.765
Trinity, You killed them.,3,-0.6705
Apoc, What?,1,0.0
Switch, Oh God.,2,0.2732
Cypher," I'm tired, Trinity. I tired of this war. I'm tired of fighting. I'm tired of this ship, being cold, eating the same goddamn goop everyday. But most of all, I'm tired of that jack-off and all his bullshit. Surprise, ass-hole! I bet you never saw this coming, didja? God, I wish I could be there, when they break you. I wish I could walk in just when it happens. So right then, you'd know it was me.",77,-0.8398
Trinity, You gave them Morpheus.,4,0.0
Cypher," He lied to us, Trinity. He tricked us. If you'da told us the truth, we woulda told you to shove that red pill right up your ass.",27,-0.6597
Trinity," That's not true, Cypher, he set us free.",8,0.2425
Cypher," Free? You call this free? All I do is what he tells me to do. If I had to choose between that and the Matrix, I choose the Matrix.",29,0.8193
Trinity, The Matrix isn't real!,4,0.0
Cypher," I disagree, Trinity. I think the Matrix can be more real than this world. All I do is pull the plug here. But there, you have to watch Apoc die.",30,-0.7992
Apoc, Trinity.,1,0.0
Switch, No.,1,-0.296
Cypher," Welcome to the real world, huh, baby?",7,0.4588
Trinity," But you're out, Cypher. You can't go back.",8,0.0
Cypher," Oh no. That's what you think. They're going to reinsert my body. I go back to sleep, and when I wake up, I won't remember a goddamn thing. By the way, if you have anything terribly important to say to Switch, I suggest you say it now.",47,-0.3498
Trinity," No, please don't.",3,0.0258
Switch, Not like this. Not like this.,6,-0.4973
Cypher, Too late.,2,0.0
Trinity," Goddamn you, Cypher.",3,-0.4767
Cypher," Don't hate me, Trinity. I'm just the messenger, and right now I'm gonna prove it to you. If Morpheus was right, then there's no way I can pull this plug. I mean if Neo's The One, then there'd have to be some kind of a miracle to stop me. Right? I mean how can he be The One if he's dead? You never did answer me before if you bought into Morpheus' bullshit  come on  all I want is a little yes or no. Look into his eyes, those big pretty eyes. Tell me. Yes or no?",99,-0.3244
Trinity, Yes.,1,0.4019
Cypher, No.,1,-0.296
Cypher, I don't believe it.,4,0.0
Tank," Believe it or not, you piece of shit, you're still gonna burn.",12,-0.5574
Neo, You first.,2,0.0
Trinity, You're hurt.,2,-0.5267
Tank, I'll be all right.,4,0.0
Trinity, Dozer?,1,0.0
Agent Smith," Have you ever stood and stared at it, marveled at its beauty, its genius? Billions of people just living out their lives, oblivious. Did you know that the first Matrix was designed to be a perfect human world. Where none suffered. Where everyone would be happy. It was a disaster. No one would accept the program. Entire crops were lost. Some believed that we lacked the programming language to describe your perfect world. But I believe that as a species, human beings define their reality through misery and suffering. The perfect world was a dream that your primitive cerebrum kept trying to wake up from. Which is why the Matrix was redesigned to this, the peak of your civilization. I say your civilization because as soon as we started thinking for you it really became our civilization which is, of course, what this is all about. Evolution, Morpheus, evolution. Like the dinosaur. Look out that window. You had your time. The future is our world, Morpheus. The future is our time.",171,0.7823
Agent Jones, There could be a problem.,5,-0.4019
Neo, What are they doing to him?,6,0.0
Tank," Breaking into his mind. It's like hacking into a computer, all it takes is time.",15,0.3612
Neo, How much time?,3,0.0
Tank," Depends on the mind. Eventually it will crack and his alpha patterns will change from this to this. When it does, Morpheus will tell them anything they want to know.",30,0.0772
Neo," Well, what do they want?",5,0.34
Tank," The leader of every ship is given codes to Zion's mainframe computer. If an agent got the codes and got into Zion's mainframe, it could destroy us. We can't let that happen.",32,-0.5423
Neo, Trinity? Tank,2,0.0
Neo, Well there has to be something that we can do.,10,0.2732
Tank, There is. We pull the plug.,6,0.0
Trinity, You're going to kill him? Kill Morpheus?,7,-0.8948
Tank, We don't have any other choice.,6,0.0
Agent Smith, Never send a human to do a machine's job.,9,0.0
Agent Brown," If indeed the insider has failed, they'll sever the connection as soon as possible, unless",15,-0.5106
Agent Jones," They're dead, in either case",5,-0.6486
Agent Smith, We have no choice but to continue as planned. Deploy the sentinels. Immediately.,13,-0.1531
Tank," Morpheus, you're more than a leader to us. You're our father. We'll miss you always.",15,-0.1531
Neo, Stop. I don't believe this is happening.,7,-0.296
Tank," Neo, this has to be done.",6,0.0
Neo," Does it? I don't know, I this can't be just coincidence. It can't be.",14,0.0
Tank, What are you talking about?,5,0.0
Neo, The Oracle. She told me this would happen. She told me that I would have to make a choice.,19,0.0
Trinity, What choice? What are you doing?,6,0.0
Neo, I'm going in.,3,0.0
Trinity, No you're not.,3,-0.296
Neo, I have to.,3,0.0
Trinity," Neo, Morpheus sacrificed himself so that he could get you out. There's no way that you're going back in.",19,-0.296
Neo, Morpheus did what he did because he believed I am something I'm not.,13,0.0
Trinity, What?,1,0.0
Neo," I'm not the one, Trinity. The Oracle hit me with that too.",12,0.0
Trinity, No. You have to be.,5,-0.296
Neo," I'm not, I'm sorry. I'm just another guy.",8,0.0572
Trinity," No, Neo. That's not true. It can't be true.",9,-0.7063
Neo, Why?,1,0.0
Tank," Neo, this is loco. They've got Morpheus in a military controlled building. Even if you somehow got inside, those are agents holding him. Three of them. I want Morpheus back too, but what you're talking about is suicide.",38,-0.7964
Neo," I know that's what it looks like, but it's not. I can't explain to you why it's not. Morpheus believed something and he was ready to give his life for what he believed. I understand that now. That's why I have to go.",43,0.6124
Tank, Why?,1,0.0
Neo, Because I believe in something.,5,0.0
Trinity, What?,1,0.0
Neo, I believe I can bring him back. What are you doing?,11,0.0
Trinity, I going with you.,4,0.0
Neo, No you're not.,3,-0.296
Trinity," No? Let me tell you what I believe. I believe Morpheus means more to me than he does to you. I believe if you're really serious about saving him, you are going to need my help. And since I am the ranking officer on this ship, if you don't like it, I believe you can go to hell. Because you aren't going anywhere else. Tank? Load us up.",68,-0.7999
Agent Smith," I'd like to share a revelation I had during my time here. It came to me when I tried to classify your species. I realized that you're not actually mammals. Every mammal on this planet instinctively develops a natural equilibrium with the surrounding environment but you humans do not. You move to an area and you multiply until every natural resource is consumed. The only way you can survive is to spread to another area. There is another organism on this planet that follows the same pattern. Do you know what it is? A virus. Human beings are a disease, a cancer of this planet. You are a plague, and we are the cure.",114,-0.1901
Tank," Okay. So what do you need, besides a miracle?",9,0.6908
Neo, Guns. Lots of guns.,4,0.0
Trinity," Neo, no one has ever done anything like this.",9,0.0772
Neo, That's why it's going to work.,6,0.0
Agent Smith, Why isn't the serum working?,5,0.0
Agent Brown, Perhaps we're asking the wrong questions.,6,-0.4767
Agent Smith, Leave me with him. Now.,5,-0.0516
Tank," Hold on, Morpheus. They're coming for you. They're coming.",9,0.0
Agent Smith," Can you hear me, Morpheus? I'm going to be honest with you. I hate this place, this zoo, this prison, this reality, whatever you want to call it. I can't stand it any longer. It's the smell. If there is such a thing. I feel.. saturated by it. I can taste your stink. And every time I do I feel I have somehow been infected by it, it's repulsive. I must get out of here. I must get free and in this mind is the key, my key. Once Zion is destroyed there is no need for me to be here, don't you understand? I need the codes. I have to get inside Zion, and you have to tell me how. You are going to tell me or you are going to die.",133,-0.9454
Guard 1," Please remove any metallic items you're carrying, keys, loose change. Holy shit.",12,-0.5574
Guard 2, Backup. Send backup.,3,0.0
Soldier, Freeze.,1,0.0516
Agent Jones, What were you doing?,4,0.0
Agent Brown, He doesn't know.,3,0.0
Agent Smith, Know what?,2,0.0
Agent Jones, I think they're trying to save him.,7,0.4939
Neo, There is no spoon.,4,-0.296
Agent Smith, Find them and destroy them.,5,-0.5423
Pilot," I repeat, we are under attack.",6,-0.4767
Neo, Trinity! Help!,2,0.508
Agent Jones, Only human.,2,0.0
Trinity, Dodge this. How did you do that?,7,0.0
Neo, Do what?,2,0.0
Trinity, You moved like they do. I've never seen anyone move that fast.,12,0.3612
Neo, Wasn't fast enough. Can you fly that thing?,8,0.0
Trinity, Not yet.,2,0.0
Tank, Operator.,1,0.0
Trinity," Tank, I need a pilot program for a V-212 helicopter. Hurry. Let's go.",13,0.0
Agent Smith, No.,1,-0.296
Neo," Morpheus, get up. Get up, get up. He's not going to make it. Gotcha.",14,0.0
Neo, Trinity.,1,0.0
Tank, I knew it. He's the one.,6,0.0
Morpheus," Do you believe it now, Trinity?",6,0.0
Neo," Morpheus. The Oracle, she told me I'm",7,0.0
Morpheus," She told you exactly what you needed to hear, that's all. Neo, sooner or later you're going to realize, just as I did, that there's a difference between knowing the path and walking the path.",35,0.0
Tank, Operator.,1,0.0
Morpheus, Tank.,1,0.0
Tank," Goddamn. It's good to hear your voice, sir.",8,-0.0516
Morpheus, We need an exit.,4,0.0
Tank," Got one ready. Subway station, State and Balboa.",8,0.3612
Agent Smith, Damn it.,2,-0.4019
Agent Brown, The trace was completed.,4,0.0
Agent Jones, We have their position.,4,0.0
Agent Brown, The sentinels are standing by.,5,0.0
Agent Jones, Order the strike.,3,-0.128
Agent Smith, They're not out yet.,4,0.0
Neo," You first, Morpheus.",3,0.0
Trinity," Neo, I want to tell you something, but I'm afraid of what it could mean if I do. Everything the Oracle told me has come true. Everything but this.",29,0.5927
Trinity, Neo.,1,0.0
Tank, What just happened?,3,0.0
Trinity, An agent. You have to send me back.,8,0.0
Tank, I can't.,2,0.0
Agent Smith, Mr. Anderson. We meet again.,5,0.0
Trinity," Run, Neo. Run! What is he doing?",7,0.0
Morpheus, He's beginning to believe.,4,0.0
Agent Smith, You're empty.,2,-0.2023
Neo, So are you.,3,0.0
Agent Smith," I'm going to enjoy watching you die, Mr. Anderson.",9,-0.1779
Trinity," Jesus, he's killing him.",4,-0.6597
Agent Smith," Do you hear that, Mr. Anderson? That is the sound of inevitability. That is the sound of your death. Goodbye, Mr. Anderson.",22,-0.5994
Neo, My name is Neo.,4,0.0
Trinity, What happened?,2,0.0
Tank, I don't know. I lost him. Oh shit.,8,-0.3895
Trinity, Sentinels. How long?,3,0.0
Morpheus," Five, maybe six minutes. Tank, charge the EMP.",8,0.0
Trinity, You can't use that until he's out.,7,0.0
Morpheus," I know, Trinity, don't worry. He's going to make it.",10,0.3412
Man," Shit, that's my phone. That's my best phone.",8,0.1531
Tank, Got him! He's on the run.,6,0.0
Neo," Mr. Wizard, get me the hell out of here.",9,-0.6808
Tank," Got a patch on an old exit, Wabash and Lake.",10,0.0
Neo, Oh shit. Help. Need a little help.,7,0.1298
Tank," Door. Door on your left. No, your other left. Back door.",11,-0.296
Trinity, Oh no.,2,-0.296
Morpheus, Here they come. He's going to make it.,8,0.0
Tank, Fire escape at the end of the alley. Room 303.,10,-0.1779
Tank, They're inside.,2,0.0
Trinity," Hurry, Neo",2,0.0
Morpheus, Can't be.,2,0.0
Agent Smith, Check him.,2,0.0
Agent Brown, He's gone.,2,0.0
Agent Smith," Goodbye, Mr. Anderson.",3,0.0
Trinity," Neo, I'm not afraid anymore. The Oracle told me that I would fall in love, and that that man, the man who I loved would be The One. So you see, you can't be dead. You can't be, because I love you. You hear me? I love you. Now get up.",51,0.968
"Neo, The One", No.,1,-0.296
Tank, How?,1,0.0
Morpheus, He is The One.,4,0.0
Trinity, No!,1,-0.3595
"Neo, The One"," I know you're out there. I can feel you now. I know that you're afraid. You're afraid of us. You're afraid of change. I don't know the future. I didn't come here to tell you how this is going to end. I came here to tell you how it's going to begin. I'm going to hang up this phone and then I'm going to show these people what you don't want them to see. I'm going to show them a world without you, a world without rules and controls, without borders or boundaries, a world where anything is possible. Where we go from there is a choice I leave to you.",111,-0.1083
